name,typing,category,power,accuracy,pp,critical
Fire Blast,Fogo,Especial,120,85,5,5,1
Flamethrower,Fogo,Especial,95,100,15,15,1
Blaze Kick,Fogo,Fisico,85,90,10,10,3
Hydro Pump,Agua,Especial,120,80,5,5,1
Surf,Agua,Especial,95,100,15,15,1
Crabhammer,Agua,Fisico,90,90,10,10,3
Power Whip,Grama,Fisico,120,85,10,10,1
Seed Bomb,Grama,Fisico,80,100,15,15,1
Energy Ball,Grama,Especial,80,100,10,10,1
Acrobatics,Voador,Fisico,110,100,15,15,1
Aeroblast,Voador,Especial,100,95,5,5,3
Megahorn,Inseto,Fisico,120,85,10,10,1
Attack Order,Inseto,Fisico,90,100,15,15,1
Bug Buzz,Inseto,Especial,90,100,10,10,1
Body Slam,Normal,Fisico,85,100,15,15,1
Egg Bomb,Normal,Fisico,100,75,10,10,1
Hyper Voice,Normal,Especial,90,100,10,10,1
Bolt Strike,Eletrico,Fisico,130,85,5,5,1
Thunder,Eletrico,Especial,120,70,10,10,1
Thunderbolt,Eletrico,Especial,95,100,15,15,1
Gunk Shot,Veneno,Fisico,120,70,5,5,1
Poison Jab,Veneno,Fisico,80,100,20,20,1
Sludge Wave,Veneno,Especial,95,100,10,10,1

